creditor,debtor,amount,risk
org.eclipse.jdt.apt.core,org.eclipse.jdt.apt.core,1514,100
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.core,28,10
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.apt.pluggable.core,42,9
org.eclipse.jdt.apt.pluggable.core,org.eclipse.jdt.compiler.apt,3,3
org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.core,59,7
org.eclipse.jdt.apt.ui,org.eclipse.jdt.apt.ui,220,12
org.eclipse.jdt.apt.ui,org.eclipse.jdt.ui,117,13
org.eclipse.jdt.astview,org.eclipse.jdt.astview,44,13
org.eclipse.jdt.compiler.apt,org.eclipse.jdt.compiler.apt,486,34
org.eclipse.jdt.debug,org.eclipse.jdt.debug,7690,280
org.eclipse.jdt.debug.ui,org.eclipse.jdt.core.manipulation,3,2
org.eclipse.jdt.debug.ui,org.eclipse.jdt.debug,655,55
org.eclipse.jdt.debug.ui,org.eclipse.jdt.debug.ui,3548,254
org.eclipse.jdt.debug.ui,org.eclipse.jdt.launching,310,27
org.eclipse.jdt.debug.ui,org.eclipse.jdt.ui,169,25
org.eclipse.jdt.debug.ui,org.eclipse.ltk.core.refactoring,22,5
org.eclipse.jdt.jeview,org.eclipse.jdt.jeview,245,23
org.eclipse.jdt.jeview,org.eclipse.jdt.ui,9,4
org.eclipse.jdt.junit,org.eclipse.jdt.junit,981,74
org.eclipse.jdt.junit,org.eclipse.jdt.junit.core,279,22
org.eclipse.jdt.junit,org.eclipse.jdt.launching,2,2
org.eclipse.jdt.junit,org.eclipse.jdt.ui,163,27
org.eclipse.jdt.junit,org.eclipse.ltk.core.refactoring,6,2
org.eclipse.jdt.junit.core,org.eclipse.jdt.junit.core,575,47
org.eclipse.jdt.junit.core,org.eclipse.jdt.launching,21,5
org.eclipse.jdt.junit.runtime,org.eclipse.jdt.junit.runtime,208,25
org.eclipse.jdt.junit4.runtime,org.eclipse.jdt.junit.runtime,12,5
org.eclipse.jdt.junit4.runtime,org.eclipse.jdt.junit4.runtime,16,5
org.eclipse.jdt.launching,org.eclipse.jdt.debug,46,11
org.eclipse.jdt.launching,org.eclipse.jdt.launching,1724,88
